image_name,c1,c2,c3,c4,c5,c_total
10004473376.jpg,0,0,25,73,7,105
10007357496.jpg,0,3,45,47,1,96
10007903636.jpg,1,0,20,73,2,96
10009096245.jpg,0,0,21,75,13,109
100117038.jpg,0,1,21,72,6,100
10012398043.jpg,0,7,55,40,1,103
10013822223.jpg,0,0,48,60,2,110
10014002683.jpg,0,6,46,51,3,106
10017119924.jpg,0,3,58,50,0,111
10020766793.jpg,0,0,11,78,20,109
10020891105.jpg,0,4,80,18,0,102
10022757465.jpg,0,3,32,66,4,105
10022844623.jpg,1,5,60,36,0,102
10027545463.jpg,0,0,31,66,5,102
10027582235.jpg,0,0,24,78,5,107
10029841663.jpg,0,4,65,64,1,134
10031298826.jpg,1,22,90,9,0,122
10031913154.jpg,0,4,63,65,2,134
10039534103.jpg,0,0,34,72,1,107
10041870415.jpg,0,2,53,49,0,104
10043785683.jpg,0,0,46,60,0,106
10047832035.jpg,0,0,38,60,3,101
10048365153.jpg,1,12,66,22,0,101
10050349236.jpg,6,69,27,0,0,102
10058760545.jpg,45,48,7,0,0,100
10059344614.jpg,0,3,46,49,2,100
10061596254.jpg,0,8,74,25,0,107
10067457634.jpg,0,0,15,87,7,109
10068507976.jpg,0,11,77,22,0,110
10068778516.jpg,0,1,38,71,4,114
10069534975.jpg,0,1,34,72,1,108
10071864114.jpg,0,1,31,76,4,112
10075168775.jpg,0,1,30,66,4,101
10077468576.jpg,0,0,38,66,2,106
10077880165.jpg,9,70,28,1,0,108
10079711433.jpg,0,11,93,28,0,132
10082923485.jpg,0,16,77,11,0,104
10086300493.jpg,0,2,49,49,3,103
100882570.jpg,0,6,49,41,3,99
10089027076.jpg,29,66,11,2,0,108
10089177336.jpg,0,1,31,63,6,101
10091520555.jpg,4,66,36,0,0,106
10093057603.jpg,0,4,55,43,0,102
10094235786.jpg,0,2,69,29,0,100
10110458216.jpg,0,4,56,39,1,100
10111411235.jpg,41,65,7,0,0,113
10113730664.jpg,0,1,66,62,0,129
10115071674.jpg,0,2,34,64,9,109
10118773964.jpg,0,12,74,14,1,101
10121813934.jpg,0,11,48,44,2,105
10125013364.jpg,13,80,38,0,0,131
10126177964.jpg,0,1,48,54,6,109
10126857344.jpg,0,6,44,63,1,114
10130566006.jpg,0,1,38,60,7,106
10131980434.jpg,1,8,90,36,0,135
10133867305.jpg,0,6,73,26,0,105
10134737015.jpg,1,19,65,22,0,107
10140071304.jpg,0,7,63,31,2,103
10147970884.jpg,0,0,25,82,4,111
10153847086.jpg,0,9,74,25,1,109
10154367094.jpg,0,2,46,68,1,117
10154991453.jpg,0,4,48,72,2,126
10155925686.jpg,0,21,65,16,1,103
101601008.jpg,0,10,50,38,2,100
10164654253.jpg,0,16,71,13,0,100
10164842933.jpg,0,1,24,81,7,113
10169304416.jpg,0,1,13,79,12,105
10173544123.jpg,0,5,77,48,1,131
10177270623.jpg,2,11,44,44,1,102
10177793964.jpg,0,2,54,41,0,97
10178112894.jpg,2,49,51,4,0,106
10178183416.jpg,0,0,33,68,6,107
10178914656.jpg,0,0,53,52,1,106
10183769356.jpg,0,2,43,55,5,105
