PVS_id,n1,n2,n3,n4,n5
1000.0,0,0,0,10,14
1001.0,8,10,6,0,0
1002.0,9,11,4,0,0
1003.0,19,4,1,0,0
1004.0,23,0,1,0,0
1005.0,6,15,3,0,0
1006.0,0,7,13,3,1
1007.0,2,10,12,0,0
1008.0,18,4,2,0,0
1009.0,0,10,11,2,1
1010.0,0,0,6,10,8
1011.0,0,0,1,16,7
1012.0,0,5,14,5,0
1013.0,2,10,10,2,0
1014.0,16,8,0,0,0
1015.0,0,0,0,14,10
1016.0,0,0,0,1,23
1017.0,9,13,2,0,0
1018.0,5,17,1,1,0
1019.0,19,5,0,0,0
1020.0,11,11,2,0,0
1021.0,6,15,3,0,0
1022.0,2,10,11,1,0
1023.0,2,10,11,1,0
1024.0,17,5,2,0,0
1025.0,1,6,10,7,0
1026.0,0,0,1,3,20
1027.0,0,0,1,5,18
1028.0,4,10,10,0,0
1029.0,2,12,7,3,0
1030.0,16,8,0,0,0
1031.0,0,0,6,14,4
1032.0,0,0,0,6,18
1033.0,0,6,11,7,0
1034.0,0,4,10,10,0
1035.0,14,9,0,1,0
1036.0,24,0,0,0,0
1037.0,1,4,8,10,1
1038.0,0,0,1,11,12
1039.0,0,5,14,5,0
1040.0,13,9,2,0,0
1041.0,0,0,1,16,7
1042.0,0,0,2,4,18
1043.0,0,0,6,11,7
1044.0,2,14,6,2,0
1045.0,5,13,6,0,0
1046.0,23,1,0,0,0
1047.0,0,0,2,6,16
1048.0,0,1,0,5,18
1049.0,0,0,9,13,2
1050.0,0,7,14,3,0
1051.0,0,10,11,3,0
1052.0,20,4,0,0,0
1053.0,0,0,10,13,1
1054.0,0,2,13,8,1
1055.0,0,3,6,14,1
1056.0,3,9,11,1,0
1057.0,0,0,1,11,12
1058.0,0,0,0,8,16
1059.0,0,4,10,9,1
1060.0,0,1,2,16,5
1061.0,11,13,0,0,0
1062.0,24,0,0,0,0
1063.0,0,0,0,7,17
1064.0,0,0,0,8,16
1065.0,0,0,2,8,14
1066.0,0,3,11,9,1
1067.0,3,13,8,0,0
1068.0,19,5,0,0,0
1069.0,0,0,1,10,13
1070.0,0,5,18,1,0
1071.0,0,2,15,7,0
1072.0,9,14,1,0,0
1073.0,0,0,2,10,12
1074.0,0,0,0,11,13
1075.0,0,0,10,9,5
1076.0,2,11,10,1,0
1077.0,14,8,2,0,0
1078.0,24,0,0,0,0
1079.0,0,0,6,13,5
1080.0,0,0,2,15,7
1081.0,0,0,3,14,7
1082.0,0,1,12,9,2
1083.0,2,17,5,0,0
1084.0,19,5,0,0,0
1085.0,0,0,6,12,6
1086.0,0,5,12,7,0
1087.0,3,14,7,0,0
1088.0,0,2,2,16,4
1089.0,0,0,3,11,10
1090.0,0,1,3,15,5
1091.0,0,0,1,15,8
1092.0,0,10,11,3,0
1093.0,4,12,8,0,0
1094.0,12,8,4,0,0
1095.0,0,10,12,2,0
1096.0,0,0,3,11,10
1097.0,9,10,5,0,0
1098.0,15,9,0,0,0
1099.0,23,1,0,0,0
1100.0,23,1,0,0,0
1101.0,11,10,3,0,0
1102.0,0,5,11,6,2
1103.0,2,11,8,3,0
1104.0,0,2,8,12,2
1105.0,0,3,7,10,4
1106.0,0,4,11,8,1
1107.0,0,0,6,11,7
